run,w_peak,w_cost,w_var,peak_red_%,cost_red_%,var_red_%,pareto
0,0.30745,0.445492,0.247057,15.4716,13.3925,50.4716,False
1,0.199566,0.046047,0.754387,13.9218,12.4324,49.2222,False
2,0.002874,0.827627,0.1695,11.6289,11.8175,48.0601,False
3,0.26047,0.468997,0.270533,17.606,13.3538,53.6449,False
4,0.233239,0.278325,0.488436,19.4032,13.8709,54.5169,False
5,0.054129,0.766507,0.179364,13.8567,13.3486,50.5935,False
6,0.266544,0.676026,0.05743,9.2687,11.2993,40.1259,False
7,0.029198,0.59497,0.375832,11.8178,11.3993,41.1286,False
8,0.687865,0.148837,0.163298,14.5522,12.0097,41.4284,False
9,0.682731,0.304451,0.012819,15.7294,12.8803,49.6402,False
10,0.150998,0.522203,0.326799,10.3422,12.6457,49.1643,False
11,0.604917,0.003595,0.391487,15.6602,12.1697,47.5595,False
12,0.068013,0.096616,0.835371,17.5091,12.9051,52.3979,False
13,0.202135,0.546265,0.2516,18.0727,12.6735,53.9335,False
14,0.833676,0.053873,0.112451,15.2438,13.7324,50.2689,False
15,0.091475,0.439895,0.46863,15.2431,13.2112,54.2442,False
16,0.08057,0.243106,0.676324,16.331,13.2208,48.1108,False
17,0.066166,0.094578,0.839256,13.4718,11.4639,43.1652,False
18,0.355163,0.511017,0.13382,12.7416,10.6951,43.5814,False
19,0.434391,0.25395,0.311659,18.9029,14.9139,53.045,True
20,0.041102,0.707977,0.250922,11.9033,12.7004,48.3786,False
21,0.440556,0.013265,0.546178,18.1943,13.5298,54.9165,False
22,0.394026,0.394897,0.211077,12.8468,12.2235,45.1964,False
23,0.380125,0.438675,0.1812,21.5479,12.1788,57.3071,False
24,0.128925,0.62413,0.246945,16.7368,13.6826,55.5309,False
25,0.678015,0.100647,0.221338,15.8698,12.1802,51.9857,False
26,0.731212,0.259935,0.008853,19.1995,13.5896,56.2064,False
27,0.278127,0.103048,0.618825,14.5235,11.4476,42.544,False
28,0.373963,0.433423,0.192615,17.4234,12.4344,51.1081,False
29,0.0033,0.916785,0.079915,14.9975,12.5713,49.7068,False
30,0.41739,0.029684,0.552926,17.6725,13.3461,57.9125,False
31,0.014922,0.889935,0.095143,10.9626,13.0484,47.3344,False
32,0.041987,0.359484,0.598529,13.6626,11.8658,49.8991,False
33,0.210957,0.452365,0.336678,15.6194,11.8181,44.8239,False
34,0.104886,0.490723,0.404391,18.813,15.3671,58.5349,True
35,0.15415,0.327337,0.518513,14.916,12.1281,50.573,False
36,0.17605,0.01267,0.811279,18.0362,13.0881,50.7772,False
37,0.00162,0.52166,0.476721,10.7277,12.1295,43.1187,False
38,0.213046,0.508166,0.278788,8.735,11.042,41.8344,False
39,0.008061,0.399039,0.5929,16.793,11.3706,48.1989,False
40,0.19885,0.771987,0.029163,15.4825,12.2679,45.1985,False
41,0.193102,0.591455,0.215442,18.8123,13.5107,52.3835,False
42,0.11785,0.595813,0.286337,12.3662,11.93,45.7721,False
43,0.083156,0.103951,0.812892,18.8927,13.0266,52.8857,False
44,0.153569,0.317778,0.528653,12.2597,11.7663,37.8499,False
45,0.303574,0.294753,0.401673,18.2184,12.0203,54.0354,False
46,0.112093,0.272177,0.61573,17.9305,13.337,51.2654,False
47,0.225989,0.737134,0.036877,15.4006,12.3412,51.9486,False
48,0.27802,0.175486,0.546494,16.9867,10.8382,48.7587,False
49,0.095958,0.723844,0.180198,19.663,13.8394,58.0247,False
50,0.484859,0.30653,0.20861,16.0191,12.5773,50.9854,False
51,0.569709,0.278287,0.152004,17.4335,13.5512,52.435,False
52,0.097727,0.042324,0.859949,14.7788,13.1112,51.3014,False
53,0.280822,0.133786,0.585392,11.5602,11.9683,45.4724,False
54,0.139317,0.234242,0.626441,12.6456,12.8556,45.4652,False
55,0.18864,0.729456,0.081905,12.0581,11.2241,44.3951,False
56,0.312282,0.479504,0.208213,14.8232,12.5312,50.2133,False
57,0.005588,0.162728,0.831684,16.8951,14.0114,52.9574,False
58,0.629242,0.268583,0.102175,11.7135,12.6688,47.945,False
