w_peak,w_cost,w_var,w_par,peak_red_%,cost_red_%,var_red_%,pareto
0.1,0.1,0.1,0.7,18.7211,11.7626,44.8836,False
0.1,0.1,0.3,0.5,20.8506,12.3154,51.0953,False
0.1,0.1,0.5,0.3,19.5421,12.2388,51.9302,False
0.1,0.1,0.7,0.1,18.5181,12.416,51.0961,False
0.1,0.3,0.1,0.5,19.0739,12.0209,45.7103,False
0.1,0.3,0.3,0.3,19.7159,12.6228,51.8498,True
0.1,0.3,0.5,0.1,18.0011,12.7584,52.5286,True
0.1,0.5,0.1,0.3,19.9502,12.5281,49.8109,True
0.1,0.5,0.3,0.1,19.1154,13.1448,52.0836,True
0.1,0.7,0.1,0.1,19.4022,13.1679,50.6434,True
0.3,0.1,0.1,0.5,18.8922,11.8607,45.4979,False
0.3,0.1,0.3,0.3,20.8647,12.4696,51.8432,False
0.3,0.1,0.5,0.1,19.431,12.3316,52.1272,True
0.3,0.3,0.1,0.3,19.0326,12.009,45.6665,False
0.3,0.3,0.3,0.1,19.6811,12.6403,51.893,True
0.3,0.5,0.1,0.1,19.8306,12.4574,49.3393,False
0.5,0.1,0.1,0.3,18.4679,11.6673,44.1535,False
0.5,0.1,0.3,0.1,21.0338,12.4927,52.0553,True
0.5,0.3,0.1,0.1,20.3667,12.4424,48.112,False
0.7,0.1,0.1,0.1,20.332,12.3518,47.7565,False
